,Symbol,ShortVolume,TotalVolume,Market
20100602,AMGN,5498559,9053251,Q
20100602,AMIN,10129,19079,Q
20100602,AMJ,100894,132166,Q
20100602,AMKR,234576,461002,Q
20100602,AMLN,228566,448245,Q
20100602,AMMD,122948,220318,Q
20100602,AMN,6500,12295,Q
20100602,AMNB,200,800,Q
20100602,AMOT,400,1021,Q
20100602,AMOV,300,578,Q
20100602,AMP,264401,574499,Q
20100602,AMPH,1200,1785,Q
20100602,AMPL,3833,9639,Q
20100602,AMPpA,1850,4564,Q
20100602,AMR,3375321,7457972,Q
20100602,AMRB,2700,11103,Q
20100602,AMRI,25506,85180,Q
20100602,AMRN,83821,144227,Q
20100602,AMSC,144840,228068,Q
20100602,AMSF,42307,59184,Q
20100602,AMSG,10001,128007,Q
20100602,AMSWA,447,5440,Q
20100602,AMT,424497,1002266,Q
20100602,AMTD,382933,811336,Q
20100602,AMWD,1895,2495,Q
20100602,AMX,145993,385465,Q
20100602,AMZN,807177,1626714,Q
20100602,AN,175604,384025,Q
20100602,ANAD,44085,92310,Q
20100602,ANCI,6144,17460,Q
20100602,ANCX,958,1158,Q
20100602,ANDE,6735,38518,Q
20100602,ANDS,58045,143494,Q
20100602,ANEN,7407,37161,Q
20100602,ANF,301606,543514,Q
20100602,ANGN,1500,4250,Q
20100602,ANGO,4200,125177,Q
20100602,ANH,224204,556859,Q
20100602,ANHpA,2900,3120,Q
20100602,ANIK,1000,4550,Q
20100602,ANLY,1301,5401,Q
20100602,ANN,136637,348153,Q
20100602,ANO,47260,104650,Q
20100602,ANPI,45617,76217,Q
20100602,ANR,504927,1031011,Q
20100602,ANSS,37323,241713,Q
20100602,ANSW,100,100,Q
20100602,ANTH,150,150,Q
20100602,ANTP,300,1200,Q
20100602,ANV,38912,135382,Q
20100602,ANW,16973,101192,Q
20100602,ANX,134253,415218,Q
20100602,AOA,851,2534,Q
20100602,AOB,132520,279673,Q
20100602,AOD,160590,634139,Q
20100602,AOI,49814,327325,Q
20100602,AOK,4901,6236,Q
20100602,AOL,54200,217187,Q
20100602,AOM,1360,1719,Q
20100602,AON,137867,290645,Q
20100602,AONE,334712,784268,Q
20100602,AOR,1220,1947,Q
20100602,AOS,53943,107715,Q
20100602,AOSL,3432,4477,Q
20100602,AOpA,246,1388,Q
20100602,AP,1000,3264,Q
20100602,APA,738101,1931335,Q
20100602,APAC,17723,54051,Q
20100602,APAGF,100,1100,Q
20100602,APB,4572,9695,Q
20100602,APC,1287249,6662282,Q
20100602,APCVZ,146707,648385,Q
20100602,APD,60007,210407,Q
20100602,APEI,11097,22950,Q
20100602,APF,6408,32734,Q
20100602,APH,84787,474396,Q
20100602,API,4000,10700,Q
20100602,APKT,199904,500563,Q
20100602,APL,71253,268534,Q
20100602,APOG,57162,117885,Q
20100602,APOL,430935,1282415,Q
20100602,APP,45708,154307,Q
20100602,APPA,51375,70450,Q
20100602,APPY,40616,175529,Q
20100602,APSG,17932,37810,Q
20100602,APT,17175,37821,Q
20100602,APU,16727,29176,Q
20100602,APWR,87154,303453,Q
20100602,APX,1094,14077,Q
20100602,AQQ,2566,10054,Q
20100602,ARAY,40409,103725,Q
20100602,ARB,51146,114578,Q
20100602,ARBA,92257,212487,Q
20100602,ARBX,200,650,Q
20100602,ARCC,174393,420758,Q
20100602,ARCI,1220,3963,Q
20100602,ARCL,10903,15548,Q
20100602,ARD,161911,361080,Q
20100602,ARE,27785,49594,Q
20100602,AREX,5174,23074,Q
20100602,AREpC,200,925,Q
20100602,ARG,78294,266015,Q
20100602,ARGN,3200,14228,Q
20100602,ARHpA,23125,32317,Q
20100602,ARHpB,175,1175,Q
20100602,ARI,4488,10488,Q
20100602,ARIA,220075,570726,Q
20100602,ARII,71254,125855,Q
20100602,ARJ,4550,12288,Q
20100602,ARK,20213,83352,Q
20100602,ARKR,1000,4200,Q
20100602,ARL,264,1128,Q
20100602,ARLP,16164,37650,Q
20100602,ARM,643112,1313497,Q
20100602,ARMH,250020,458554,Q
20100602,ARNA,561590,1400302,Q
20100602,ARO,746286,1243210,Q
20100602,AROW,800,1300,Q
20100602,ARP,18716,26033,Q
20100602,ARQL,96588,173685,Q
20100602,ARRS,113564,382468,Q
20100602,ARRY,32156,130711,Q
20100602,ARSD,100,100,Q
20100602,ARST,192555,589031,Q
20100602,ART,95254,203276,Q
20100602,ARTC,12107,85387,Q
20100602,ARTG,216451,596699,Q
20100602,ARTNA,1454,1719,Q
20100602,ARTX,6000,7400,Q
20100602,ARUN,377418,732393,Q
20100602,ARW,49086,144987,Q
20100602,ARWR,81299,183223,Q
20100602,ARYX,14205,127527,Q
20100602,ASA,11616,21794,Q
20100602,ASBC,203631,335143,Q
20100602,ASBI,500,1580,Q
20100602,ASCA,23171,61711,Q
20100602,ASCMA,4300,8895,Q
20100602,ASEI,4200,14412,Q
20100602,ASF,58553,96179,Q
20100602,ASFI,42498,116701,Q
20100602,ASFN,1450,5115,Q
20100602,ASG,1700,8813,Q
20100602,ASGN,6255,22580,Q
20100602,ASGR,5572,9085,Q
20100602,ASH,69617,192037,Q
20100602,ASI,1900,14073,Q
20100602,ASIA,95394,180135,Q
20100602,ASMI,1533,7106,Q
20100602,ASML,236915,365850,Q
20100602,ASP,4060,6410,Q
20100602,ASPS,17821,69435,Q
20100602,ASR,2800,11970,Q
20100602,ASTC,8550,45272,Q
20100602,ASTE,23467,57063,Q
20100602,ASTI,2600,47169,Q
20100602,ASTIZ,100,3113,Q
20100602,ASTM,95420,214246,Q
20100602,ASX,51214,1009384,Q
20100602,ASYS,654,23734,Q
20100602,ATAC,12971,57905,Q
20100602,ATAX,2420,8620,Q
20100602,ATBC,400,600,Q
20100602,ATEA,300,700,Q
20100602,ATEC,31145,53406,Q
20100602,ATHN,222444,337347,Q
20100602,ATHR,186406,595235,Q
20100602,ATHX,18237,50207,Q
20100602,ATI,358507,765910,Q
20100602,ATK,28432,66643,Q
20100602,ATLS,143280,272914,Q
20100602,ATMI,4256,39964,Q
20100602,ATML,1580709,2916375,Q
20100602,ATNI,16806,31433,Q
20100602,ATO,17464,56263,Q
20100602,ATPG,2141800,6864902,Q
20100602,ATR,16739,93528,Q
20100602,ATRC,2200,10000,Q
20100602,ATRI,200,500,Q
20100602,ATRM,1458,2758,Q
20100602,ATRN,2300,19300,Q
20100602,ATRO,2500,7100,Q
20100602,ATSG,106702,173070,Q
20100602,ATSI,92478,158598,Q
20100602,ATT,27506,55653,Q
20100602,ATU,20465,104410,Q
20100602,ATV,21511,47036,Q
20100602,ATVI,1294922,3206734,Q
20100602,ATW,119052,335978,Q
20100602,ATX,100,100,Q
20100602,AU,133965,246643,Q
20100602,AUBN,400,800,Q
20100602,AUDC,3300,9674,Q
20100602,AUMN,11020,16985,Q
20100602,AUO,288934,715591,Q
20100602,AUTC,1215,7778,Q
20100602,AUTH,10640,41205,Q
20100602,AUXL,117612,454609,Q
20100602,AUY,866897,2379291,Q
20100602,AV,1200,1300,Q
20100602,AVA,38531,64054,Q
20100602,AVAV,28904,74587,Q
20100602,AVB,161410,397236,Q
20100602,AVCA,461,1656,Q
20100602,AVD,6201,17219,Q
20100602,AVEO,300,2150,Q
20100602,AVF,19461,31965,Q
20100602,AVGO,63595,456450,Q
20100602,AVID,5062,13833,Q
20100602,AVII,751312,1842883,Q
20100602,AVK,7300,47352,Q
20100602,AVNR,180354,590525,Q
20100602,AVNW,13311,46851,Q
20100602,AVP,381333,902435,Q
20100602,AVT,67793,213254,Q
20100602,AVTR,5110,9027,Q
20100602,AVX,36587,58163,Q
20100602,AVY,47807,137861,Q
20100602,AWC,20573,66357,Q
20100602,AWF,32710,65387,Q
20100602,AWH,15972,44529,Q
20100602,AWI,18752,29552,Q
20100602,AWK,87484,185904,Q
20100602,AWP,37086,124916,Q
20100602,AWR,4124,14150,Q
20100602,AWX,100,800,Q
20100602,AXAS,69646,165219,Q
20100602,AXE,62900,112824,Q
20100602,AXK,100,370,Q
20100602,AXL,143620,846841,Q
20100602,AXN,2000,7300,Q
20100602,AXP,2052690,3942895,Q
20100602,AXS,71125,160562,Q
20100602,AXSpA,250,12401,Q
20100602,AXTI,21063,101787,Q
20100602,AXU,9000,84840,Q
20100602,AYE,198195,424974,Q
20100602,AYI,12432,32250,Q
20100602,AYN,1002,1302,Q
20100602,AYR,27288,145678,Q
20100602,AZC,40618,181297,Q
20100602,AZK,48310,188780,Q
20100602,AZN,310106,936015,Q
20100602,AZO,218856,314131,Q
20100602,AZPN,1300,28043,Q
20100602,AZZ,5900,15630,Q
20100602,B,7566,83138,Q
20100602,BA,406489,1279279,Q
20100602,BAA,5316,15416,Q
20100602,BAB,166706,229123,Q
20100602,BABY,31807,310736,Q
20100602,BAC,19920150,50351385,Q
20100602,BAC.WS.A,22514,988255,Q
20100602,BAC.WS.B,500,6350,Q
20100602,BACpB,3990,23667,Q
20100602,BACpC,6448,20343,Q
20100602,BACpD,7778,12605,Q
20100602,BACpE,3036,3758,Q
20100602,BACpH,32876,61510,Q
20100602,BACpI,7245,17620,Q
20100602,BACpJ,10347,17671,Q
20100602,BACpL,70,285,Q
20100602,BACpU,630,6280,Q
20100602,BACpV,2915,17680,Q
20100602,BACpW,8680,14380,Q
20100602,BACpX,7740,15055,Q
20100602,BACpY,2526,8626,Q
20100602,BACpZ,5235,12180,Q
20100602,BAF,1465,10239,Q
20100602,BAGL,12179,19329,Q
20100602,BAK,13948,34874,Q
20100602,BAL,100,1767,Q
20100602,BALT,7025,36880,Q
20100602,BAM,79108,217142,Q
20100602,BAMM,6436,12033,Q
20100602,BANF,1552,6455,Q
20100602,BANR,9616,40225,Q
20100602,BAP,99805,169420,Q
20100602,BARI,120,520,Q
20100602,BAS,57206,116555,Q
20100602,BAX,525011,1674466,Q
20100602,BAYN,550,5420,Q
20100602,BBBB,40602,151789,Q
20100602,BBBY,284948,534366,Q
20100602,BBD,649860,1453144,Q
20100602,BBEP,28995,91413,Q
20100602,BBF,4276,6476,Q
20100602,BBG,65229,136584,Q
20100602,BBH,2100,10600,Q
20100602,BBI,610025,1654553,Q
20100602,BBI.B,160467,262292,Q
20100602,BBK,1331,4137,Q
20100602,BBL,146962,301751,Q
20100602,BBND,10204,73855,Q
20100602,BBNK,100,100,Q
20100602,BBOX,5009,8409,Q
20100602,BBSI,3300,9601,Q
20100602,BBT,435615,1359592,Q
20100602,BBTpA,10877,19073,Q
20100602,BBTpB,1100,14396,Q
20100602,BBTpC,2800,19741,Q
20100602,BBVA,120992,812287,Q
20100602,BBW,14200,30832,Q
20100602,BBX,158249,473014,Q
20100602,BBXT,150,5254,Q
20100602,BBY,2149845,4391408,Q
20100602,BC,122104,273680,Q
20100602,BCA,899,1879,Q
20100602,BCBP,700,1680,Q
20100602,BCE,100655,204078,Q
20100602,BCF,29942,83051,Q
20100602,BCH,100,2123,Q
20100602,BCO,29269,107926,Q
20100602,BCON,190196,429968,Q
20100602,BCPC,11802,27177,Q
20100602,BCR,57306,237246,Q
20100602,BCRX,45305,192186,Q
20100602,BCS,282453,722181,Q
20100602,BCSI,458448,1213297,Q
20100602,BCSp,4175,24769,Q
20100602,BCSpA,3214,15685,Q
20100602,BCSpC,3278,20198,Q
20100602,BCSpD,45994,92309,Q
20100602,BDC,35712,52688,Q
20100602,BDCO,100,3870,Q
20100602,BDD,22845,43109,Q
20100602,BDG,1700,2784,Q
20100602,BDH,100,300,Q
20100602,BDJ,14880,75498,Q
20100602,BDL,200,200,Q
20100602,BDMS,300,600,Q
20100602,BDN,202737,389943,Q
20100602,BDNpD,220,220,Q
20100602,BDSI,20934,45241,Q
20100602,BDT,11943,31987,Q
20100602,BDV,58439,100076,Q
20100602,BDX,113231,249554,Q
20100602,BEAT,48980,168446,Q
20100602,BEAV,82740,178089,Q
20100602,BEBE,51714,187517,Q
20100602,BEC,32606,82862,Q
20100602,BECN,24613,99808,Q
20100602,BEE,512601,1294246,Q
20100602,BEEpA,1000,1000,Q
20100602,BELFA,700,1000,Q
20100602,BELFB,2213,6477,Q
20100602,BELM,31620,79789,Q
20100602,BEN,58202,166781,Q
20100602,BEST,10500,22943,Q
20100602,BEXP,656343,1391494,Q
20100602,BEZ,22541,41392,Q
20100602,BF.A,700,900,Q
20100602,BF.B,27224,49340,Q
20100602,BFED,600,2700,Q
20100602,BFIN,15569,21119,Q
20100602,BFK,12710,27296,Q
20100602,BFLY,5800,8506,Q
20100602,BFR,11300,21500,Q
20100602,BFS,200,9758,Q
20100602,BFSB,1916,8437,Q
20100602,BFSpA,775,1475,Q
20100602,BFSpB,75454,150954,Q
20100602,BFY,200,5032,Q
20100602,BFZ,4700,16342,Q
20100602,BG,90463,188416,Q
20100602,BGC,76458,188865,Q
20100602,BGCP,43179,276955,Q
20100602,BGEpB,1289,1841,Q
20100602,BGFV,12274,76988,Q
20100602,BGG,66187,114053,Q
20100602,BGH,1450,3557,Q
20100602,BGP,338629,1514318,Q
20100602,BGR,6881,43730,Q
20100602,BGS,31053,96438,Q
20100602,BGT,4810,16196,Q
20100602,BGU,345125,1129428,Q
20100602,BGY,131497,429624,Q
20100602,BGZ,1552601,3592075,Q
20100602,BH,692,2859,Q
20100602,BHB,1501,2201,Q
20100602,BHD,2844,7046,Q
20100602,BHE,83507,167554,Q
20100602,BHI,1617771,3756320,Q
20100602,BHK,8027,31412,Q
20100602,BHL,14839,21739,Q
20100602,BHLB,1454,12446,Q
20100602,BHP,226133,738060,Q
20100602,BHS,9555,11155,Q
20100602,BHV,200,400,Q
20100602,BHY,22400,39710,Q
20100602,BIB,100,100,Q
20100602,BICK,875,1475,Q
20100602,BID,274411,414704,Q
20100602,BIDU,1547282,3869718,Q
20100602,BIDZ,200,1585,Q
20100602,BIE,1400,4767,Q
20100602,BIF,9400,35812,Q
20100602,BIG,100981,368370,Q
20100602,BIIB,133349,397130,Q
20100602,BIK,40501,61213,Q
20100602,BIL,446157,561561,Q
20100602,BIN,37994,87751,Q
20100602,BIO,4942,7870,Q
20100602,BIOD,29475,96916,Q
20100602,BIOF,9640,22751,Q
20100602,BIOS,175951,502885,Q
20100602,BIP,4535,21020,Q
20100602,BIRpA,100,230,Q
20100602,BITS,200,1695,Q
20100602,BIV,436723,447430,Q
20100602,BJ,252258,484459,Q
20100602,BJGP,19541,52334,Q
20100602,BJK,230,2850,Q
20100602,BJRI,160514,229192,Q
20100602,BK,669753,1753289,Q
20100602,BKC,208894,414712,Q
20100602,BKCC,59102,127273,Q
20100602,BKD,58600,163259,Q
20100602,BKE,52161,102938,Q
20100602,BKF,16671,52112,Q
20100602,BKH,18804,34072,Q
20100602,BKI,24309,57787,Q
20100602,BKK,2500,17205,Q
20100602,BKMU,19592,71996,Q
20100602,BKN,4643,8684,Q
20100602,BKR,5422,7616,Q
20100602,BKRS,300,3557,Q
20100602,BKS,52521,115677,Q
20100602,BKT,19111,62102,Q
20100602,BKYF,400,600,Q
20100602,BKpF,3696,8299,Q
20100602,BLC,154236,248814,Q
20100602,BLDP,19747,80110,Q
20100602,BLDR,7505,18505,Q
20100602,BLE,10156,21593,Q
20100602,BLK,35346,103704,Q
20100602,BLKB,19053,37280,Q
20100602,BLL,137552,422764,Q
20100602,BLT,21019,32384,Q
20100602,BLTI,2600,9540,Q
20100602,BLU,7300,43071,Q
20100602,BLUD,78868,155535,Q
20100602,BLV,13709,21941,Q
20100602,BLW,12841,40796,Q
20100602,BLX,15539,60053,Q
20100602,BMA,3958,6458,Q
20100602,BMC,320806,602800,Q
20100602,BME,3841,7185,Q
20100602,BMI,10526,14943,Q
