,Symbol,ShortVolume,ShortExemptVolume,TotalVolume
20110923,XLU,990114,28180,1409253
20110923,XLV,1799507,17950,2172636
20110923,XLY,859002,33346,1421770
20110923,XME,409130,0,551715
20110923,XNPT,22431,0,34758
20110923,XNY,3463,0,23637
20110923,XOM,2991027,100,4378985
20110923,XOMA,71207,0,158919
20110923,XOP,194396,20444,464875
20110923,XOXO,3709,0,8709
20110923,XPL,4250,800,17823
20110923,XPO,5925,0,31775
20110923,XPP,3200,0,4854
20110923,XRA,34832,5759,255854
20110923,XRAY,244028,0,314562
20110923,XRIT,3641,0,7105
20110923,XRO,128,0,128
20110923,XRS,8310,0,14510
20110923,XRT,954687,13708,1486314
20110923,XRTX,14406,0,30480
20110923,XRX,1166294,0,3561781
20110923,XSD,4613,0,13300
20110923,XTEX,48705,0,82632
20110923,XTL,100,0,100
20110923,XTN,4400,0,13637
20110923,XTXI,62935,0,132874
20110923,XUE,13500,0,74276
20110923,XVG,100,0,200
20110923,XWES,300,0,400
20110923,XXIA,25992,0,48989
20110923,XXV,5817,0,7934
20110923,Y,100,0,900
20110923,YANG,6740,0,24641
20110923,YAO,800,0,5522
20110923,YCL,1150,0,1617
20110923,YCS,102919,0,151412
20110923,YGE,737201,0,1440772
20110923,YHOO,5220686,700,10288587
20110923,YINN,16313,0,28788
20110923,YMI,206538,200,431843
20110923,YNDX,114460,1667,368203
20110923,YOKU,510694,122643,2060058
20110923,YONG,36997,0,118318
20110923,YORW,800,0,4391
20110923,YPF,15188,0,65370
20110923,YRCW,948724,413981,7938873
20110923,YUM,203510,100,612981
20110923,YXI,7916,0,10741
20110923,YZC,10642,1515,92941
20110923,Z,8439,0,25658
20110923,ZA,1132250,0,1134813
20110923,ZAGG,86054,13400,364074
20110923,ZBB,35150,0,177370
20110923,ZBRA,10304,0,29308
20110923,ZBpA,100,0,1100
20110923,ZBpB,2100,0,4485
20110923,ZBpC,3435,0,7771
20110923,ZBpE,300,0,989
20110923,ZEP,2925,0,14225
20110923,ZEUS,28582,0,30657
20110923,ZF,42410,0,136642
20110923,ZGNX,35553,0,102145
20110923,ZHNE,4750,0,6500
20110923,ZIGO,3685,0,4585
20110923,ZINC,24795,0,54944
20110923,ZION,260124,200,447211
20110923,ZIOP,65337,0,140097
20110923,ZIP,17279,0,63343
20110923,ZIV,2340,0,5340
20110923,ZIXI,22925,0,88837
20110923,ZLC,60152,8906,243642
20110923,ZLCS,161563,0,370804
20110923,ZMH,180706,0,611659
20110923,ZN,46640,0,150557
20110923,ZNH,5636,0,9469
20110923,ZNWAZ,3200,500,3700
20110923,ZOLL,16946,0,90018
20110923,ZOLT,14969,500,142823
20110923,ZOOM,1060,100,7150
20110923,ZQK,98908,0,269372
20110923,ZROZ,2100,0,19799
20110923,ZSL,2926550,0,10136652
20110923,ZSTN,3600,0,20978
20110923,ZTR,244929,0,506114
20110923,ZUMZ,9874,0,30837
20110923,ZZ,24225,0,59228
